	Locations	Fishname	Locationtype_fishtype	location_sampletype	sampletype_speciestype	sample_type
S218	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S219	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass	Skin
S220	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass	Skin
S221	Lake_Ontario	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioSkin	SkinPumpkinseed	Skin
S222	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass	Skin
S223	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass	Skin
S224	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass	Skin
S225	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S226	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass	Skin
S227	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S228	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S229	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S230	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S233	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S234	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S235	Lake_Ontario	Walleye	Lake_OntarioWalleye	Lake_OntarioSkin	SkinWalleye	Skin
S236	Lake_Ontario	Walleye	Lake_OntarioWalleye	Lake_OntarioSkin	SkinWalleye	Skin
S237	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S238	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S239	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S240	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S241	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S242	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch	Skin
S243	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S245	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S246	Lake_Ontario	Walleye	Lake_OntarioWalleye	Lake_OntarioSkin	SkinWalleye	Skin
S247	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S249	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S251	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S252	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S253	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S254	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S255	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch	Skin
S256	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum	Skin
S257	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum	Skin
S258	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum	Skin
S259	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum	Skin
S260	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum	Skin
S261	Lake_Ontario	White_Sucker	Lake_OntarioWhite_Sucker	Lake_OntarioSkin	SkinWhite_Sucker	Skin
S262	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch	Skin
S263	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch	Skin
S264	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum	Skin
S265	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S266	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S267	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S268	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S269	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S270	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S271	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S272	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S273	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S274	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S275	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S276	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S278	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S279	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S280	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S281	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S282	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S283	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S284	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S285	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S286	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S287	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S288	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S289	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S290	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S291	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S292	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S293	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S294	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S295	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S296	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S297	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S298	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S299	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S300	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S301	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass	Skin
S302	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby	Skin
S303	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby	Skin
S304	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby	Skin
S305	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby	Skin
S306	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby	Skin
S307	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch	Skin
S308	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch	Skin
S309	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch	Skin
S310	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch	Skin
S311	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch	Skin
S312	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch	Skin
S313	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch	Skin
S314	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch	Skin
S315	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass	Skin
S316	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass	Skin
S317	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass	Skin
S318	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S319	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S320	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S321	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S322	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S323	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S324	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S325	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S327	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S328	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S329	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S330	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S331	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S332	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S333	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S334	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S335	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S336	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S337	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S338	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S339	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S340	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S341	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch	Skin
S343	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch	Skin
S344	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass	Skin
S345	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass	Skin
S346	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass	Skin
S347	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S348	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S349	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S350	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S351	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S352	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S353	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S354	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S355	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S356	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S357	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S358	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby	Skin
S359	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch	Skin
S360	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch	Skin
S361	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch	Skin
S362	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass	Skin
S363	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass	Skin
S364	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch	Skin
S365	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch	Skin
S366	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch	Skin
S367	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass	Skin
S368	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby	Skin
S369	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby	Skin
S370	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S371	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S372	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S373	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum	Skin
S374	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S375	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S376	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye	Skin
S377	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S378	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S379	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S380	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S381	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S382	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S383	Lake_Ontario	Walleye	Lake_OntarioWalleye	Lake_OntarioSkin	SkinWalleye	Skin
