otu	Domain	Phylum	Class	Order	Family
2a0447fdf9540029c63992c308601efb	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
2afe5f3509f02b75034470826bce0b97	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
9fd3c2e40e643bc75378a200c428a000	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
5a2898189cdc9281793fd4f1aeb81edc	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
5155c53c592dc40fac117fc37a9420cd	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
09357a623535c6a4e9a59708c584c1f2	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	 Pirellulaceae
07428d0d1bb0117fb969a285ca3c246b	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
6a47108e49f13d095ef10fdf35789202	Bacteria	Firmicutes	Bacilli	Staphylococcales	 Staphylococcaceae
30b530f3ce7061977fc7679e2a38a0fe	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
0b81d60e2fe2b166dfa3ed533d9643df	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
13e9c462cae67d7219ba9dd2215dc4a5	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
2ecb98f3bfe70c94f89f7db922bc02e6	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	 Peptostreptococcaceae
bd27ede42f12d188dd17efa5f852ce81	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
39dbb4c6e46f80c05762a35384fcdf25	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	 Micrococcaceae
42459a6e8e9735ebe3a8440414a94dfb	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
c8036b9e83739cdd47c794e9de1c8a42	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
c4840400fec3a5c7ed49f527a9cf0ccb	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
22654c8c749e6f3a6a674a61d8ba9c1e	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
af23b6925c6bff06c4a8b67d94d6fe3b	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
f0476d05021018aa0ff12d57bb91a68f	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
347fb80627b6c39eb6899eef9fdb7578	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	 Shewanellaceae
ef04a7ba97d9ffe1b80d315b5de65a48	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	 Saccharimonadaceae
c9b0ab1d1e5dacddb11b3ee5314c7dc5	Bacteria	Firmicutes	Bacilli	Exiguobacterales	 Exiguobacteraceae
c35c66a0e3c7c9dc897ae10b5542171b	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
c76bcb1b0621ecf7a71a1b988c742cfc	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
9dd4d629d1f6caf8ed0a1c3fa38dc3d3	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
c980b20596ee81d7bcc0e95ae3444c08	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
0d4c491f13af3223a2b5d26f73078823	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
57cbbe4f89f425cc6b8d8c5e706d949f	Bacteria	Firmicutes	Bacilli	Lactobacillales	NA
dbb1da5707e6eeb28c65b04b7d6a19c5	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	 SC-I-84
03d26e068f9ce035971819a6c71ee464	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	 Xanthomonadaceae
169e2eefcc39c5a060be188752c27f8f	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
a18495d0a53f7236ab4472ff942edc31	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
c2fe5777af8f7063cd0079025b3598f7	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
421038b929b61a8592dd232771e0ca13	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	 Shewanellaceae
1691046cfc7c21ad111a2eee0f918e7a	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	 Shewanellaceae
45b0a5a1f2ec70f695cf1229a37125ec	Bacteria	Firmicutes	Bacilli	Staphylococcales	 Staphylococcaceae
23fc9a4ae17302b72d59c1b65feaf676	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	 Burkholderiaceae
2049657ecb06196f3199f06aaa8b8cd7	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	 Peptostreptococcaceae
dcab417366cb2ef64a31d0c3db7caeb2	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	 Microbacteriaceae
43f7fbefcd74f328aa09ac683b2cc4c0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	 Peptostreptococcaceae
b3b531e0892b0de4024a7e54494597e0	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA
cd01322cf0c1c529e547ee257e189c12	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	 Alteromonadaceae
155910ac61516e4acf95e14ef94082fd	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
570bcbc9821b9ab3a366cf2bf9f9c460	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	 Peptostreptococcaceae
d39f9ee5d040a1c449a1f0148f2db0ec	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
3db89b2fcf4f8ca5d2ed583ad7d252ce	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	 Micrococcaceae
6f3db9b79bffef527c5436b778a0e800	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
59c727bd5c2d8bd79adbe1fe144a5985	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
e3d65ce1535e2ca301bd7b93b046edae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	 Rhodobacteraceae
0e9f634fb56c09e9e3aabf8116c72437	Bacteria	Firmicutes	Bacilli	NA	NA
99f29bb164ab95f8ac748a54685b209b	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
296a8b77fe0cb1186404bd6369d73b6b	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	 Peptostreptococcaceae
f682f2ecafb9e75480f49921545c3c02	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
166506b6f29627019d069ef9ff1b3c69	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
5291ed31347dd9998423960dfaaa362f	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
d60c035a153935e60fc2745d1109ec84	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
af9f2cd0ae2b26d4a6f979b3a612466a	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
b70614d2a54ab20357941d8897fae031	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
4df6fce6acb847dd62fc1e0a33580e8a	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
bdc518622d81fe4f0133acbe0e617fba	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	 Rhodobacteraceae
69f26b65d1a07e066232c56d38abd837	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
e1f435334985d333d1fc47406435fc82	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	 Microbacteriaceae
acbc89b728d5f826b012bd99ae2c5460	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
477685b44ca9535c5be19943d1dac277	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	 Shewanellaceae
111b188dadedc5d9d03126b32003c512	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
4c8d945c60dcfb037877827ac93f589a	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
c88126f97775b82e4ab7a93218a21933	Bacteria	Firmicutes	Bacilli	Staphylococcales	 Staphylococcaceae
f565a570c0c549a9159b2ab24b5a71ed	Bacteria	Firmicutes	Bacilli	Exiguobacterales	 Exiguobacteraceae
a3871d10f11d767e542c4a628b8b544c	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
f11ac9e43d20c5ad45dd605061ce7ea1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
4be4409b19b274eb8035a0c5bc51a318	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	 Xanthobacteraceae
3a450707428b0b25ff44479b2aaf12a2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
adb2f0ebdef8bab67767f469f09b4fa3	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
81e4edb44584e03e82319666037207ff	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	 Peptostreptococcaceae
3ab30aa961237ff7b2bfa75bf3a2be38	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	 Steroidobacteraceae
8acfb68ea249e41f95665a321e1ec406	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
8335dddb85271dc5eec7a1afbbd16dd9	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
b8a423dcd8998ef7740502cb678fa07b	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
0134530b1de39aa5dd6f7f8423564a58	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Pseudomonadaceae
2887c4259c87d7ac47a47eef88f55899	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
4072c36e81c2472ef936eda223b28017	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Pseudomonadaceae
672a461e50c5710241dce314d8b9cabe	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
2995d9075f5be815881a26255b6da897	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	 Burkholderiaceae
8c37c798be9419a1d663eec95513b7cf	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Pseudomonadaceae
ed7a60e993c651b1f54f3bc2ad5e47ce	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
ec1b0c0b195d6358250254607df48428	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	 Microbacteriaceae
8ccaf50170a1b59b7b6238070ebc9dd1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
8c2d4b5a9083cf182b4533fd9d7db9b2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
87dcb07795a2810639daa53898e43a03	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
78a8a65628f47313c53eed67f92b16b0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
25ea7b60d023cecb1b16de86555a89a5	Bacteria	Firmicutes	Bacilli	Lactobacillales	NA
5886ae00bda36741108723c7afb9b8b6	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
70ff03f178c378405c7c0777833da8f2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
85b09f7324b0c8aa7e4b64b74a0f5abb	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Pseudomonadaceae
03e65c123cf2c3a7b7ff1019b11e2f0d	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
1201d1e32c915da4a599c8d98981b7b5	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	 Peptostreptococcaceae
